,name,layer_affected,kernel_index,layer_affected_index,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_accuracy,tflite_accuracy,q_aware_acc_degradation,tflite_acc_degradation,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
52,model_1_51,conv2d_1/kernel,1.0,4.0,"(2, 0, 8, 8)",-0.38130074739456177,0.38130074739456177,0.1713564246892929,57.0,5.0,25.0,0.07505920224302397,0.9117000102996826,0.9119,0.00020003318786621094,0.000200000000000089,-0.2665988802909851,0.02229277417063713,-88.0,8.0,0.28889164328575134,96.0
53,model_1_52,conv2d_1/kernel,1.0,4.0,"(0, 2, 15, 25)",-0.5542344450950623,0.5542344450950623,-0.21102048456668854,-48.0,2.0,-44.0,-0.19201823294632078,0.9115999937057495,0.9118,0.00010001659393310547,0.00010000000000010001,0.6020112633705139,0.5450044870376587,137.0,125.0,0.057006776332855225,12.0
54,model_1_53,conv2d_1/kernel,1.0,4.0,"(4, 2, 20, 23)",-0.41990217566490173,0.41990217566490173,-0.08284968137741089,-25.0,6.0,-89.0,-0.29426215459981303,0.9117000102996826,0.9116,0.00020003318786621094,-9.999999999998899e-05,-0.009605377912521362,0.6246320009231567,-3.0,189.0,0.6342374086380005,192.0
55,model_1_54,conv2d_1/kernel,1.0,4.0,"(4, 0, 20, 6)",-0.5211625099182129,0.5211625099182129,0.18338465690612793,45.0,5.0,13.0,0.05334734353493518,0.9118000268936157,0.9118,0.0003000497817993164,0.00010000000000010001,-0.20502837002277374,0.05504625290632248,-50.0,14.0,0.2600746154785156,64.0
56,model_1_55,conv2d_1/kernel,1.0,4.0,"(2, 3, 19, 47)",-0.5217837691307068,0.5217837691307068,0.1998259723186493,49.0,5.0,17.0,0.06984507145844107,0.911899983882904,0.9122,0.0004000067710876465,0.000500000000000056,-0.6337656378746033,-0.11384204030036926,-156.0,-28.0,0.5199235677719116,128.0
57,model_1_56,conv2d_1/kernel,1.0,4.0,"(4, 0, 10, 15)",-0.6074090600013733,0.6074090600013733,-0.24055159091949463,-50.0,7.0,78.0,0.37305438330793006,0.911899983882904,0.9117,0.0004000067710876465,0.0,0.28751057386398315,-0.9397013187408447,59.0,-197.0,1.2272119522094727,256.0
58,model_1_57,conv2d_1/kernel,1.0,4.0,"(2, 4, 17, 31)",-0.5475643277168274,0.5475643277168274,-0.05215003713965416,-12.0,7.0,116.0,0.5001374961822991,0.9115999937057495,0.9117,0.00010001659393310547,0.0,0.14271202683448792,-1.514150619506836,33.0,-351.0,1.6568626165390015,384.0
59,model_1_58,conv2d_1/kernel,1.0,4.0,"(0, 3, 19, 17)",-0.5406187772750854,0.5406187772750854,0.07870429009199142,18.0,6.0,82.0,0.34906094280753547,0.9117000102996826,0.9117,0.00020003318786621094,0.0,-0.27799808979034424,-1.089068055152893,-64.0,-256.0,0.8110699653625488,192.0
60,model_1_59,conv2d_1/kernel,1.0,4.0,"(4, 4, 29, 17)",-0.5406187772750854,0.5406187772750854,-0.02411210909485817,-6.0,3.0,-14.0,-0.05959577072323777,0.9114000201225281,0.9116,-9.995698928833008e-05,-9.999999999998899e-05,0.10198575258255005,0.17295309901237488,24.0,40.0,0.07096734642982483,16.0
61,model_1_60,conv2d_1/kernel,1.0,4.0,"(0, 2, 15, 17)",-0.5406187772750854,0.5406187772750854,0.26636025309562683,63.0,6.0,127.0,0.5406187772750854,0.9114000201225281,0.9115,-9.995698928833008e-05,-0.00019999999999997797,-0.9902604222297668,-1.8130359649658203,-235.0,-427.0,0.8227755427360535,192.0
