;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
184;0_2023-05-23 10:04:00;quant_conv2d;1;2;1;23;0.6418;-0.26979999999999993;3.0282261
185;0_2023-05-23 10:04:04;quant_conv2d;1;2;2;23;0.4811;-0.43049999999999994;4.9474025
186;0_2023-05-23 10:04:08;quant_conv2d;1;2;3;23;0.3726;-0.5389999999999999;6.3588634
187;0_2023-05-23 10:04:11;quant_conv2d;1;2;4;23;0.3032;-0.6083999999999999;7.254719
188;0_2023-05-23 10:04:15;quant_conv2d;1;2;5;23;0.2589;-0.6527;7.9503016
189;0_2023-05-23 10:04:19;quant_conv2d;1;2;6;23;0.2264;-0.6852;8.558817
190;0_2023-05-23 10:04:24;quant_conv2d;1;2;7;23;0.2101;-0.7015;8.841513
191;0_2023-05-23 10:04:28;quant_conv2d;1;2;8;23;0.1924;-0.7192;9.185497
192;0_2023-05-23 10:04:31;quant_conv2d;1;2;1;24;0.5952;-0.3164;3.7181673
193;0_2023-05-23 10:04:35;quant_conv2d;1;2;2;24;0.416;-0.4956;5.9388666
194;0_2023-05-23 10:04:39;quant_conv2d;1;2;3;24;0.3212;-0.5904;7.2633343
195;0_2023-05-23 10:04:43;quant_conv2d;1;2;4;24;0.259;-0.6526;8.22144
196;0_2023-05-23 10:04:47;quant_conv2d;1;2;5;24;0.2187;-0.6929;8.963691
197;0_2023-05-23 10:04:51;quant_conv2d;1;2;6;24;0.1965;-0.7151;9.3218
198;0_2023-05-23 10:04:55;quant_conv2d;1;2;7;24;0.1729;-0.7386999999999999;9.680276
199;0_2023-05-23 10:04:59;quant_conv2d;1;2;8;24;0.1589;-0.7526999999999999;9.926596
200;0_2023-05-23 10:05:02;quant_conv2d;1;2;1;25;0.5874;-0.32419999999999993;3.9363337
201;0_2023-05-23 10:05:06;quant_conv2d;1;2;2;25;0.4021;-0.5095;6.352243
202;0_2023-05-23 10:05:10;quant_conv2d;1;2;3;25;0.2961;-0.6154999999999999;7.7632704
203;0_2023-05-23 10:05:13;quant_conv2d;1;2;4;25;0.2298;-0.6818;8.767824
204;0_2023-05-23 10:05:17;quant_conv2d;1;2;5;25;0.2018;-0.7098;9.422981
205;0_2023-05-23 10:05:21;quant_conv2d;1;2;6;25;0.1725;-0.7391;9.809285
206;0_2023-05-23 10:05:25;quant_conv2d;1;2;7;25;0.1642;-0.7474;10.087058
